PDB_ID,TM-scoreRNA,INF-ALL,INF-WC,INF-NWC,INF-STACK,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lddt,C-lddt,length,rnatype,MSA_length,MSA_depth,Neff,method
7UME,0.36121,0.81,0.86,,0.83,0.78,0.5,0.71,0.89,1.0,0.67,0.71,,,,,,boltz
7V06,0.389,0.74,0.76,,0.77,0.61,0.35,0.44,0.67,0.98,0.75,0.78,,,,,,boltz
7WIA,0.3466,0.79,0.9,0.45,0.78,0.24,0.14,0.22,0.26,0.33,0.73,0.74,,,,,,boltz
8BTZ,0.22254,0.87,0.99,0.2,0.83,0.13,0.08,0.12,0.14,0.2,0.63,0.75,,,,,,boltz
8BU8,0.35885,0.87,0.96,0.0,0.84,0.2,0.05,0.11,0.26,0.39,0.57,0.82,,,,,,boltz
8BWT,0.21981,0.89,0.95,,0.86,0.65,0.31,0.5,0.81,1.0,0.74,0.75,,,,,,boltz
8CLR,0.22713,0.97,1.0,,0.95,0.88,0.57,0.93,1.0,1.0,0.75,0.91,,,,,,boltz
8CQ1,0.42347,0.9,1.0,,0.85,0.71,0.34,0.57,0.93,1.0,0.73,0.8,,,,,,boltz
8FB3,0.37594,0.68,0.68,0.24,0.79,0.76,0.35,0.74,0.94,1.0,0.42,0.73,,,,,,boltz
8FCS,0.615,0.85,0.85,,0.85,0.69,0.3,0.68,0.89,0.9,0.8,0.82,,,,,,boltz
8FZA,0.19618,0.37,0.36,0.0,0.5,0.46,0.28,0.38,0.55,0.62,0.19,0.43,,,,,,boltz
8HB8,0.19319,0.59,0.79,0.0,0.61,0.24,0.14,0.24,0.26,0.33,0.29,0.46,,,,,,boltz
8I43,0.19486,0.78,0.86,,0.78,0.6,0.32,0.53,0.63,0.95,0.77,0.86,,,,,,boltz
8I44,0.21954,0.81,0.94,,0.78,0.67,0.37,0.53,0.79,1.0,0.8,0.86,,,,,,boltz
8I45,0.19284,0.83,1.0,,0.78,0.71,0.32,0.63,0.9,1.0,0.58,0.83,,,,,,boltz
8I46,0.21902,0.9,1.0,,0.84,0.71,0.42,0.63,0.79,1.0,0.74,0.8,,,,,,boltz
8ITS,0.26224,0.85,0.97,0.58,0.84,0.35,0.24,0.3,0.39,0.46,0.49,0.58,,,,,,boltz
8JHP,0.25444,0.65,0.56,1.0,0.67,0.61,0.3,0.48,0.67,1.0,0.5,0.63,,,,,,boltz
8K2Z,0.58768,0.63,0.7,0.5,0.6,0.75,0.37,0.65,1.0,1.0,0.4,0.82,,,,,,boltz
8K30,0.37553,0.24,0.1,0.0,0.33,0.51,0.35,0.52,0.58,0.6,0.4,0.62,,,,,,boltz
8K8B,0.20711,0.78,1.0,1.0,0.63,0.67,0.37,0.53,0.84,0.95,0.7,0.82,,,,,,boltz
8KEB,0.60309,0.37,0.0,0.0,0.56,0.69,0.31,0.55,0.89,1.0,0.56,0.73,,,,,,boltz
8Q4O,0.11463,0.31,,0.0,0.71,0.32,0.17,0.26,0.35,0.48,0.03,0.44,,,,,,boltz
8Q6N,0.54981,0.87,0.91,0.5,0.89,0.78,0.35,0.78,1.0,1.0,0.64,0.79,,,,,,boltz
8QO2,0.24538,0.55,0.45,0.0,0.6,0.07,0.04,0.05,0.08,0.09,0.34,0.55,,,,,,boltz
8QO3,0.41034,0.76,0.72,0.0,0.79,0.35,0.15,0.29,0.44,0.52,0.68,0.74,,,,,,boltz
8QO4,0.41335,0.67,0.64,0.0,0.7,0.26,0.09,0.15,0.31,0.5,0.46,0.62,,,,,,boltz
8QO5,0.31311,0.64,0.42,,0.72,0.21,0.08,0.16,0.23,0.39,0.48,0.65,,,,,,boltz
8SCF,0.41437,0.82,0.91,,0.78,0.82,0.63,0.73,0.9,1.0,0.78,0.78,,,,,,boltz
8SCH,0.29319,0.83,0.91,,0.79,0.39,0.22,0.32,0.43,0.6,0.64,0.75,,,,,,boltz
8T5O,0.30955,0.41,0.0,0.0,0.58,0.26,0.14,0.2,0.28,0.4,0.38,0.55,,,,,,boltz
8TNS,0.14566,0.0,,,0.0,0.29,0.17,0.17,0.33,0.5,0.28,0.35,,,,,,boltz
8TVZ,0.44026,0.82,0.91,0.0,0.8,0.17,0.05,0.11,0.18,0.33,0.44,0.65,,,,,,boltz
8UPT,0.66113,0.74,0.79,0.45,0.75,0.16,0.1,0.13,0.17,0.22,0.69,0.76,,,,,,boltz
8UTG,0.16531,0.43,,0.17,0.63,0.48,0.24,0.38,0.48,0.81,0.16,0.45,,,,,,boltz
8UYG,0.36566,0.79,0.9,0.0,0.76,0.31,0.13,0.24,0.38,0.47,,,,,,,,boltz
8UYM,0.40098,0.78,0.78,0.0,0.81,0.33,0.16,0.33,0.38,0.45,,,,,,,,boltz
8UYP,0.31299,0.74,0.73,0.35,0.75,0.25,0.13,0.2,0.29,0.39,,,,,,,,boltz
8V1H,0.59434,0.33,0.11,0.0,0.46,0.18,0.13,0.17,0.2,0.24,0.61,0.85,,,,,,boltz
8V1I,0.56803,0.33,0.0,0.0,0.5,0.75,0.34,0.69,0.95,1.0,0.42,0.77,,,,,,boltz
8VCI,0.36171,0.81,0.89,0.0,0.79,0.28,0.14,0.18,0.3,0.48,0.52,0.66,,,,,,boltz
8VT5,0.67695,0.87,0.98,0.5,0.83,0.8,0.44,0.78,0.97,1.0,0.56,0.85,,,,,,boltz
8XZL,0.40012,0.83,0.89,0.41,0.85,0.59,0.25,0.48,0.69,0.92,0.63,0.71,,,,,,boltz
8ZAU,0.29659,0.74,0.88,0.0,0.73,0.34,0.22,0.29,0.38,0.46,0.49,0.62,,,,,,boltz
9BLM,0.51669,0.89,0.98,0.58,0.87,0.62,0.31,0.43,0.73,1.0,0.78,0.85,,,,,,boltz
9BUN,0.38283,0.76,0.87,0.0,0.78,0.55,0.33,0.5,0.6,0.75,0.44,0.65,,,,,,boltz
9DE6,0.26276,0.38,0.0,,0.58,0.34,0.2,0.27,0.39,0.48,0.21,0.46,,,,,,boltz
9DE7,0.44777,0.88,0.93,,0.87,0.46,0.18,0.26,0.44,0.95,0.73,0.75,,,,,,boltz
9ECQ,0.50386,0.92,1.0,,0.88,0.9,0.71,0.88,1.0,1.0,0.76,0.84,,,,,,boltz
9ECR,0.37967,0.73,0.73,,0.73,0.67,0.38,0.56,0.75,1.0,0.66,0.75,,,,,,boltz
9EOW,0.20014,0.85,1.0,,0.79,0.32,0.21,0.28,0.34,0.45,0.56,0.84,,,,,,boltz
9EWW,0.26513,0.68,0.72,0.0,0.72,0.2,0.13,0.15,0.18,0.34,0.39,0.46,,,,,,boltz
9FM4,0.2416,0.78,0.94,,0.72,0.68,0.32,0.56,0.84,1.0,0.64,0.79,,,,,,boltz
9FO8,0.23082,0.76,1.0,,0.65,0.62,0.34,0.48,0.69,0.97,0.63,0.74,,,,,,boltz
9FO9,0.24704,0.76,0.93,,0.71,0.55,0.3,0.42,0.55,0.94,0.63,0.78,,,,,,boltz
9G7C,0.22116,0.66,0.68,0.12,0.67,0.15,0.08,0.12,0.19,0.21,0.33,0.48,,,,,,boltz
9IO0,0.24801,0.9,1.0,,0.89,0.54,0.21,0.37,0.68,0.9,0.81,0.9,,,,,,boltz
9IO1,0.21158,0.74,1.0,,0.63,0.53,0.21,0.42,0.58,0.9,0.75,0.82,,,,,,boltz
9IOR,0.2393,0.82,1.0,,0.76,0.53,0.26,0.37,0.58,0.9,0.8,0.92,,,,,,boltz
9IOS,0.22048,0.87,1.0,,0.84,0.51,0.32,0.37,0.53,0.84,0.74,0.83,,,,,,boltz
9IOU,0.17086,0.8,1.0,0.0,0.76,0.51,0.26,0.32,0.58,0.9,0.77,0.83,,,,,,boltz
R1205,0.25182,0.57,0.57,0.0,0.63,0.38,0.29,0.36,0.4,0.47,0.37,0.51,,,,,,boltz
R1209,0.30327,0.8,0.87,0.0,0.79,0.33,0.19,0.28,0.38,0.49,0.47,0.61,,,,,,boltz
R1211,0.41407,0.88,0.97,0.0,0.85,0.44,0.19,0.38,0.53,0.64,0.59,0.67,,,,,,boltz
R1212,0.239,0.26,0.0,0.0,0.38,0.21,0.14,0.2,0.24,0.28,0.42,0.56,,,,,,boltz
R1248,0.22022,0.38,0.0,0.0,0.55,0.05,0.03,0.04,0.06,0.1,0.0,0.18,,,,,,boltz
R1263,0.49274,0.92,1.0,1.0,0.89,0.62,0.31,0.5,0.72,0.94,0.55,0.8,,,,,,boltz
R1271,0.72539,0.82,0.91,1.0,0.77,0.76,0.38,0.73,0.94,0.99,0.57,0.8,,,,,,boltz
R1288,0.30832,0.68,0.68,0.41,0.7,0.49,0.24,0.33,0.53,0.86,0.62,0.64,,,,,,boltz
R1293,0.36727,0.76,0.85,0.22,0.76,0.44,0.2,0.32,0.45,0.78,0.48,0.66,,,,,,boltz
R1296,0.29787,0.83,0.97,0.0,0.79,0.35,0.21,0.29,0.43,0.47,0.57,0.68,,,,,,boltz
7EXY,0.20765,0.88,1.0,1.0,0.82,0.69,0.38,0.5,0.88,1.0,0.62,0.67,,,,,,chai
7KUB,0.33353,0.86,0.9,0.0,0.88,0.23,0.15,0.22,0.27,0.3,0.7,0.76,,,,,,chai
7KUC,0.33573,0.86,0.91,,0.83,0.88,0.56,0.94,1.0,1.0,0.75,0.88,,,,,,chai
7KUD,0.30498,0.9,1.0,,0.86,0.81,0.54,0.77,0.92,1.0,0.74,0.86,,,,,,chai
7MKT,0.11349,0.0,,,0.0,0.26,0.13,0.17,0.26,0.48,0.25,0.31,,,,,,chai
7PS8,0.14895,0.35,,,0.49,0.28,0.17,0.22,0.3,0.44,0.19,0.28,,,,,,chai
7Q48,0.12852,0.49,,,0.75,0.32,0.23,0.27,0.32,0.46,0.23,0.33,,,,,,chai
7Q6L,0.12497,0.36,,,0.6,0.32,0.23,0.27,0.32,0.46,0.28,0.44,,,,,,chai
7QA2,0.11873,0.46,,,0.69,0.33,0.18,0.32,0.32,0.5,0.25,0.36,,,,,,chai
7RWR,0.27836,0.69,0.84,0.0,0.68,0.57,0.26,0.45,0.68,0.87,0.52,0.58,,,,,,chai
7SHX,0.17696,0.62,0.73,0.0,0.59,0.2,0.11,0.15,0.24,0.32,0.54,0.64,,,,,,chai
7SXP,0.13791,0.33,,,0.6,0.38,0.26,0.26,0.37,0.63,0.23,0.38,,,,,,chai
7UGA,0.3167,0.84,0.87,,0.88,0.51,0.33,0.4,0.56,0.77,0.61,0.8,,,,,,chai
7UMC,0.31398,0.7,0.57,0.0,0.77,0.36,0.21,0.27,0.46,0.51,0.46,0.65,,,,,,chai
7UMD,0.34879,0.81,1.0,,0.72,0.59,0.32,0.45,0.7,0.9,0.57,0.73,,,,,,chai
7UME,0.40673,0.77,0.86,,0.78,0.8,0.57,0.68,0.93,1.0,0.66,0.75,,,,,,chai
7V06,0.48251,0.83,0.97,0.0,0.83,0.78,0.4,0.81,0.93,1.0,0.79,0.82,,,,,,chai
7WIA,0.32442,0.8,0.88,0.32,0.82,0.25,0.14,0.2,0.29,0.37,0.64,0.77,,,,,,chai
8BTZ,0.54226,0.89,1.0,0.58,0.84,0.34,0.11,0.19,0.43,0.65,0.77,0.82,,,,,,chai
8BU8,0.23294,0.83,0.9,0.0,0.82,0.12,0.06,0.1,0.16,0.19,0.61,0.75,,,,,,chai
8BWT,0.24246,0.89,0.95,,0.88,0.69,0.31,0.58,0.88,1.0,0.74,0.76,,,,,,chai
8CLR,0.25075,0.91,1.0,,0.86,0.88,0.5,1.0,1.0,1.0,0.7,0.82,,,,,,chai
8CQ1,0.38626,0.87,0.94,,0.84,0.68,0.25,0.52,0.93,1.0,0.75,0.79,,,,,,chai
8FB3,0.25761,0.46,0.0,0.0,0.64,0.26,0.15,0.18,0.32,0.41,0.25,0.37,,,,,,chai
8FCS,0.59979,0.88,0.86,,0.89,0.66,0.31,0.52,0.87,0.93,0.81,0.83,,,,,,chai
8FZA,0.18728,0.62,0.68,,0.75,0.47,0.28,0.41,0.55,0.66,0.41,0.47,,,,,,chai
8HB8,0.29295,0.56,0.74,0.0,0.59,0.4,0.22,0.33,0.44,0.6,0.31,0.56,,,,,,chai
8I43,0.16197,0.81,0.86,1.0,0.78,0.6,0.37,0.47,0.63,0.95,0.72,0.83,,,,,,chai
8I44,0.17371,0.74,0.86,,0.71,0.63,0.32,0.47,0.74,1.0,0.71,0.78,,,,,,chai
